dataset,beat_piece_count,downbeat_piece_count,beat_fmeasure,beat_cmlt,beat_amlt,downbeat_fmeasure,downbeat_cmlt,downbeat_amlt
asap,473,473,0.7715193356836191,0.531109493135845,0.6099225795166751,0.6173905930911566,0.2834412141012021,0.5225268235430125
ballroom,685,685,0.9739498009023748,0.9638517907376625,0.9707638387600442,0.9572028317948983,0.9473272176911987,0.9605353879159257
beatles,179,179,0.9455120283027316,0.8747616572015579,0.9305381928127655,0.8983550816761658,0.7719397316299377,0.8722476475153972
candombe,35,35,0.9971780448243345,0.9978719826949566,0.9978719826949566,0.9976210360467576,0.9994206714944042,0.9994206714944042
filosax,48,48,0.9950532371471316,0.9876875502924057,0.9876875502924057,0.9913446169739748,0.9783041380704786,0.9783041380704786
groove_midi,336,336,0.9374901672885743,0.8778756051683367,0.9208737599533551,0.8299216416881275,0.7625211926698987,0.8668789847535345
guitarset,180,180,0.9207294332629792,0.8311793544034164,0.9124031822198089,0.884214407464377,0.8173338852505518,0.9009070453587998
hainsworth,222,222,0.9198474115436662,0.84814549655858,0.9203640818108845,0.8146766850344277,0.6992178314563785,0.8310325421657252
harmonix,911,911,0.9596752234554986,0.9055281892890414,0.9459466345236945,0.9151305344482497,0.8423331399614647,0.8974775688273007
hjdb,235,235,0.9816561299511881,0.9744086893597332,0.9814138751049177,0.9636895781869196,0.9557357019562441,0.9668910026836465
jaah,113,113,0.9499206238301656,0.8852941199182343,0.9061815581492662,0.8760490057226691,0.7852593783755043,0.8194524021831026
rwc_classical,61,61,0.7721211704126923,0.5373941167660387,0.6265257066615124,0.6843440610789102,0.4328279841986647,0.5787767914066189
rwc_jazz,50,50,0.8350902915884423,0.7371149073718207,0.7612600352330695,0.8137174280798649,0.7447653688222285,0.7917885892281515
rwc_popular,100,100,0.9616436533014171,0.9049942050147137,0.9448986597675665,0.9446553865623435,0.8972099495103317,0.9237878678907259
rwc_royalty-free,15,15,0.9430964162562633,0.8669469580013348,0.9332282682132808,0.9407545360406365,0.8723245328399891,0.8723245328399891
simac,595,0,0.780366325723101,0.564289555609569,0.8597399708590711,nan,nan,nan
smc,217,0,0.6293246616007145,0.5374140509202544,0.6354894368604003,nan,nan,nan
tapcorrect,101,101,0.9331731635041001,0.8324832934708983,0.9035299926085628,0.8828540167968777,0.7410525275484396,0.8276707649433532
rwc_all,226,226,0.8812598121618672,0.7661080148796938,0.8175635392387681,0.8451668841887198,0.736489550534792,0.7980463208800167
all,4556,3744,0.8945390234872621,0.8004367272507785,0.8780937205098024,0.8678438818810266,0.7702047502856801,0.8500238244532428
